2.09;-0.899979;0.811053;-0.000340122;0.000469066;-0.000212431;1
2.09298;-1.23093;1.03849;0.0300649;-0.0305775;-0.0750025;0.996261
2.10363;-1.32972;1.17904;-0.00261952;-0.0198553;-0.0853344;0.996151
2.09734;-1.4261;1.3275;-0.0380281;-0.0103856;-0.106175;0.993566
2.07389;-1.518;1.48334;-0.0750692;-0.00360104;-0.13702;0.987713
2.03321;-1.60305;1.64587;-0.112778;-0.0008554;-0.176949;0.977737
1.97541;-1.67864;1.81417;-0.150344;-0.0033531;-0.22465;0.962766
1.9009;-1.74205;1.98697;-0.187127;-0.0120844;-0.278463;0.941964
1.81043;-1.79049;2.16264;-0.222664;-0.0277685;-0.336445;0.914579
1.70519;-1.82128;2.33913;-0.25667;-0.0508081;-0.396431;0.879989
1.58681;-1.83204;2.51404;-0.289019;-0.0812561;-0.456124;0.837745
1.45741;-1.82077;2.68463;-0.319732;-0.118798;-0.513173;0.787599
1.31956;-1.78611;2.84796;-0.348946;-0.162748;-0.565269;0.729534
1.17621;-1.7274;3.00098;-0.376888;-0.212064;-0.610234;0.663777
1.03061;-1.64478;3.14071;-0.403834;-0.265377;-0.646102;0.5908
0.886151;-1.53929;3.26435;-0.430082;-0.321031;-0.671207;0.511322
0.746205;-1.4128;3.36949;-0.455913;-0.377146;-0.684243;0.426281
0.613986;-1.26797;3.45419;-0.481564;-0.431684;-0.684323;0.33682
0.492368;-1.10813;3.51711;-0.507198;-0.482522;-0.671021;0.244241
0.383745;-0.937128;3.55758;-0.532886;-0.52754;-0.644393;0.149975
0.289918;-0.759095;3.57561;-0.558593;-0.564702;-0.604982;0.0555233
0.409332;-0.79133;3.57642;-0.574131;-0.498465;-0.646012;0.0676309
0.537141;-0.809269;3.57312;-0.594246;-0.429421;-0.67562;0.0775035
0.671393;-0.811396;3.56554;-0.618601;-0.359272;-0.693706;0.0838347
0.809884;-0.796464;3.55354;-0.6466;-0.289696;-0.700495;0.0853842
0.950198;-0.76354;3.53708;-0.677405;-0.22229;-0.696522;0.0810333
1.08976;-0.712044;3.51616;-0.70996;-0.158509;-0.682609;0.0698365
1.2259;-0.641775;3.49085;-0.743028;-0.0996177;-0.659832;0.0510666
1.3559;-0.552926;3.4613;-0.775237;-0.0466439;-0.629479;0.0242523
1.47709;-0.446091;3.42772;0.805134;0.000347339;0.592995;0.0107951
1.58688;-0.322251;3.39036;0.831241;-0.0388038;0.551924;0.0539652
1.73376;-0.172814;3.31947;0.867016;-0.0636026;0.487677;0.0800554
1.8583;0.00292036;3.23972;0.896404;-0.0779489;0.420011;0.118215
1.95589;0.201124;3.1521;0.91738;-0.0823099;0.351473;0.167648
2.02273;0.417197;3.05772;0.928162;-0.0776083;0.284462;0.227099
2.05595;0.645956;2.95773;0.9273;-0.0651691;0.221128;0.294905
2.05371;0.881852;2.85334;0.913752;-0.0466483;0.163292;0.369076
2.01518;1.11917;2.74573;0.886932;-0.0239465;0.112383;0.447379
1.94059;1.35224;2.63604;0.84675;0.000887314;0.0693918;0.527445
1.83107;1.57561;2.52536;0.793621;0.0257582;0.0348503;0.606867
1.68864;1.78421;2.41466;0.728449;0.048628;0.00883317;0.683315
1.51602;1.97345;2.30478;0.652599;0.0676141;-0.0090204;0.754626
1.31657;2.13933;2.19644;0.567835;0.0810783;-0.019462;0.818908
1.09412;2.27847;2.09019;0.476248;0.0877032;-0.0235721;0.874609
0.852839;2.38813;1.98647;0.380167;0.0865507;-0.0226834;0.92058
0.597164;2.46623;1.88552;0.282061;0.0771013;-0.0182931;0.956118
0.331685;2.51134;1.78749;0.184431;0.0592718;-0.0119696;0.980984
0.0610737;2.52262;1.69238;0.0897086;0.0334108;-0.005258;0.995394
-0.209978;2.49985;1.6001;0.000150985;0.000272581;0.000411118;1
